Pool,Protocol,Network,TVL (mm),15-day Fees APR,1 day farming APR,Total APR,Projected 1yr - Impermanent loss,Assets price change,Risk factor,Data Validation,Net Yield
SNX/BNT,Bancor,ethereum,11.8,5.27%,0.0%,5.27%,-4.76%,22.02%,7.5%,0.00,22.52%
SPELL / ETH,sushiswap,ethereum,59.0,57.36%,14.33%,71.69%,0.0%,25.0%,0.0%,1.00,96.69%
SUSHI / ETH,sushiswap,ethereum,389.7,5.2%,5.48%,10.68%,-8.63%,21.22%,2.5%,0.00,23.27%
TOKE / ETH,sushiswap,ethereum,90.0,5.18%,167.82%,172.99%,-18.89%,14.49%,0.0%,1.00,168.6%
TOKE / ETH,uniswap-v2,ethereum,86.7,5.04%,0.0%,5.04%,-18.86%,14.49%,0.0%,1.00,0.67%
TRAC/BNT,Bancor,ethereum,1.0,1.79%,0.0%,1.79%,-30.92%,13.69%,0.0%,1.00,-15.44%
TriCrypto Curve,curve,ethereum,23.4,2.08%,3.47%,5.55%,-11.04%,14.75%,0.0%,0.00,9.26%
TriCrypto2 Curve,curve,ethereum,702.7,5.28%,6.22%,11.50%,-11.15%,14.75%,0.0%,0.00,15.1%
UMA/BNT,Bancor,ethereum,1.0,1.54%,0.0%,1.54%,-3.76%,19.32%,0.0%,1.00,17.09%
UNI / ETH,uniswap-v2,ethereum,99.4,5.24%,0.0%,5.24%,-6.62%,19.44%,0.0%,0.00,18.06%
UNI/BNT,Bancor,ethereum,4.5,1.73%,0.0%,1.73%,-9.22%,18.84%,5.0%,0.00,11.35%
UNI/WETH,Uniswap-v3,ethereum,65.5,25.64%,0.0%,25.64%,-6.86%,19.44%,0.0%,0.00,38.22%
UOS/BNT,Bancor,ethereum,1.0,2.2%,0.0%,2.20%,-10.7%,16.86%,0.0%,1.00,8.37%
USDC / ETH,quickswap,polygon,99.0,16.51%,0.0%,16.51%,-8.47%,12.5%,0.0%,0.00,20.54%
USDC / ETH,sushiswap,ethereum,411.6,12.41%,7.08%,19.49%,-7.96%,12.5%,0.0%,0.00,24.03%
USDC / ETH,uniswap-v2,ethereum,220.0,15.91%,0.0%,15.91%,-8.47%,12.5%,0.0%,0.00,19.94%
USDC / USDT,uniswap-v2,ethereum,43.9,4.35%,0.0%,4.35%,0.0%,0.0%,0.0%,0.00,4.35%
USDC/BNT,Bancor,ethereum,37.6,4.95%,0.0%,4.95%,-6.68%,11.89%,5.0%,0.00,10.16%
USDC/USDT,Uniswap-v3,ethereum,135.1,3.43%,0.0%,3.43%,0.0%,0.0%,0.0%,0.00,3.43%
USDC/WETH,Uniswap-v3,ethereum,127.3,76.13%,0.0%,76.13%,-8.16%,12.5%,0.0%,0.00,80.47%
USDC/WETH,Uniswap-v3,ethereum,309.6,39.62%,0.0%,39.62%,-8.13%,12.5%,0.0%,0.00,43.98%
USDN Curve,curve,ethereum,502.2,0.25%,4.82%,5.07%,0.0%,25.0%,0.0%,1.00,30.07%
USDP Curve,curve,ethereum,127.6,0.05%,3.22%,3.26%,0.0%,25.0%,0.0%,1.00,28.26%
USDT/BNT,Bancor,ethereum,34.2,4.43%,0.0%,4.43%,-7.3%,11.89%,5.0%,0.00,9.02%
UST Curve,curve,ethereum,37.7,4.09%,0.89%,4.98%,0.0%,25.0%,16.8%,1.00,29.98%
VBNT/BNT,Bancor,ethereum,6.4,5.79%,0.0%,5.79%,0.0%,24.39%,0.0%,1.00,30.18%
WBTC / ETH,quickswap,polygon,83.0,4.93%,0.0%,4.93%,-1.81%,22.13%,0.0%,0.00,25.25%
WBTC / ETH,sushiswap,ethereum,554.2,2.36%,2.01%,4.37%,-1.92%,22.13%,0.0%,0.00,24.58%
WBTC / ETH,uniswap-v2,ethereum,171.8,2.66%,0.0%,2.66%,-2.03%,22.13%,0.0%,0.00,22.76%
